Revenue
178533
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
103,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
104,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
105,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
106,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
107,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
108,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
109,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
110,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
111,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
112,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
113,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
114,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
115,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
116,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
117,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
118,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
119,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
120,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
121,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
122,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
123,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
124,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
125,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
